project,tool,discussion_length,project_age,time_to_adoption,num_new_dev,num_w_tool_expos,num_active,num_involved_dev,num_committers,num_commits,num_neg_dev,num_pos_dev,num_comments,num_neutral_comments,num_positive_comments,num_negative_comments,num_mentions,influ,influ_at,status
usablica/intro.js,jshint,56.33333333,56.53333333,32.93333333,66,10,66,3,65,495,2,1,7,2,1,4,4,0,0,1
showdownjs/showdown,jshint,25.16666667,100,25.16666667,17,5,18,1,18,371,1,0,11,5,4,2,1,1,-1,0
showdownjs/showdown,mocha,31.53333333,75.16666667,31.5,9,2,9,2,8,111,0,1,6,2,2,2,2,1,1,1
pouchdb/express-pouchdb,jshint,16.1,31.73333333,6.8,10,12,12,2,12,104,1,1,16,11,3,2,11,0,0,1
pouchdb/express-pouchdb,mocha,9.366666667,16.46666667,0.4,7,7,8,3,8,101,2,0,14,10,1,3,3,0,0,1
pouchdb/express-pouchdb,selenium,12.76666667,23.56666667,7.333333333,9,11,11,3,11,113,0,0,14,11,1,2,4,0,0,1
bcoe/sandcastle,mocha,10.76666667,17.2,4.633333333,4,2,4,1,4,45,0,1,2,1,1,0,2,1,1,1
jxnblk/rebass,codeclimate,14.73333333,30.5,14.73333333,16,5,18,1,18,278,0,0,3,3,0,0,1,0,0,0
local-npm/local-npm,istanbul,0.633333333,18.1,0.633333333,4,4,4,1,4,33,0,1,3,2,1,0,3,0,0,0
mozilla/nunjucks,mocha,28.93333333,31.53333333,1.233333333,45,29,46,5,45,471,2,1,25,13,8,4,8,0,0,1
mozilla/nunjucks,jshint,7.266666667,33.2,0.033333333,14,6,19,3,18,141,0,0,8,7,0,1,5,0,0,1
socketstream/socketstream,jasmine,10,45.96666667,10,7,1,10,1,9,83,0,1,3,0,1,2,1,1,1,0
socketstream/socketstream,mocha,9.833333333,45.96666667,6.933333333,7,5,9,2,8,74,2,0,2,0,0,2,2,1,-1,1
cloudant/nodejs-cloudant,jshint,26.4,72.53333333,26.26666667,13,8,13,1,13,273,0,0,8,5,1,2,2,0,0,0
cloudant/nodejs-cloudant,eslint,0.7,72.53333333,0.633333333,1,1,2,2,1,24,1,0,3,2,0,1,3,0,0,1
cloudant/nodejs-cloudant,istanbul,16.3,70.4,16.3,7,7,8,1,7,79,0,1,3,1,1,1,1,1,1,0
jquery/sizzle,sauce,2.966666667,69.06666667,2.966666667,2,5,8,1,8,34,1,0,4,1,0,3,1,1,-1,0
jquery/sizzle,karma,3.5,69.06666667,0,4,2,8,2,8,41,1,0,7,1,1,5,6,1,-3,1
ckeditor/ckeditor5-engine,eslint,5.7,41.4,5.7,1,10,10,1,10,509,0,0,2,2,0,0,1,0,0,1
phillro/node-elasticsearch-client,mocha,0.966666667,19.76666667,0.933333333,1,0,2,1,2,14,1,0,2,1,0,1,2,1,-1,1
mochajs/mocha,codeclimate,17,66.06666667,17,86,29,95,1,95,465,0,1,785,352,183,250,1,1,1,0
mochajs/mocha,coveralls,0.1,66.06666667,0.1,0,2,2,1,2,14,0,1,15,7,6,2,1,1,1,1
mochajs/mocha,jshint,58.16666667,69.93333333,28.03333333,281,120,290,4,290,1484,2,1,2289,1062,515,712,6,0,0,0
mochajs/mocha,eslint,26.93333333,69.93333333,0.1,133,86,143,8,142,672,2,4,1301,583,300,418,18,0,0,1
mochajs/mocha,istanbul,50.86666667,66.06666667,0.4,255,130,264,6,261,1260,0,3,2081,957,487,637,8,0,0,1
mochajs/mocha,sauce,40.8,57.7,1.1,207,78,216,7,213,955,1,3,1643,757,389,497,16,0,0,1
mochajs/mocha,selenium,41.3,57.7,0.933333333,209,29,219,5,217,973,2,2,1669,769,394,506,5,0,0,0
mochajs/mocha,karma,28.5,57.7,0.366666667,150,57,159,5,156,672,2,1,1297,599,316,382,7,0,0,1
senchalabs/connect,jshint,64.3,89.26666667,64.3,75,31,79,1,78,1237,1,0,20,7,4,9,1,1,-1,0
senchalabs/connect,mocha,23.8,48.8,8.6,68,46,72,4,71,643,3,0,19,7,4,8,7,0,0,1
skulpt/skulpt,jshint,1.866666667,62.1,0.366666667,5,0,8,5,5,55,3,2,24,9,7,8,19,0,0,1
stormpath/express-stormpath,eslint,0.7,16.33333333,0,6,1,8,3,8,108,0,1,8,2,5,1,8,1,4,1
jshint/fixmyjs,jshint,12.66666667,22.9,2.833333333,4,0,4,3,2,87,3,0,8,3,1,4,8,0,0,1
webdriverio/wdio-allure-reporter,jasmine,1.133333333,6.866666667,1.133333333,2,2,4,1,3,37,0,1,6,1,5,0,1,1,1,0
webdriverio/wdio-allure-reporter,mocha,2.333333333,6.866666667,0,6,5,6,6,3,59,0,5,16,4,11,1,15,0,0,1
iurimatias/embark-framework,jasmine,15.96666667,17.5,15.96666667,13,1,15,1,15,471,0,0,5,2,2,1,1,0,0,0
iurimatias/embark-framework,mocha,12.73333333,17.5,2.066666667,4,4,7,2,6,263,0,1,4,1,2,1,4,1,1,1
Rantanen/node-mumble,mocha,0.133333333,27.7,0.133333333,2,2,2,1,2,13,1,0,1,0,0,1,1,1,-1,1
bpmn-io/bpmn-js,eslint,20.56666667,47.86666667,20.56666667,2,6,7,1,7,317,1,0,2,1,0,1,1,1,-1,1
simple-statistics/simple-statistics,jshint,14.3,40.23333333,14.3,7,8,9,1,9,103,0,0,3,2,1,0,1,0,0,1
jira-node/node-jira-client,eslint,1.466666667,51.3,0.5,2,1,3,1,3,52,0,0,2,2,0,0,2,0,0,1
SparkPost/node-sparkpost,coveralls,3.566666667,11,0.2,3,0,4,2,3,97,0,2,10,7,3,0,5,0,0,1
SparkPost/node-sparkpost,jshint,8.9,27.53333333,8.9,6,1,11,1,11,101,0,1,2,0,1,1,1,1,1,0
SparkPost/node-sparkpost,mocha,10.03333333,27.53333333,8.333333333,11,10,13,3,13,130,2,0,8,5,1,2,5,0,0,1
mde/ejs,mocha,0.7,59.46666667,0.7,3,3,3,2,3,165,0,1,3,2,1,0,2,1,1,1
mde/ejs,istanbul,0.666666667,59.46666667,0.666666667,1,1,3,1,3,132,0,0,1,1,0,0,1,0,0,0
prettier/prettier,codecov,0.5,8.133333333,0.466666667,4,7,10,1,9,28,1,0,10,4,5,1,2,1,-1,1
prettier/prettier,eslint,4.666666667,6.1,0.066666667,143,97,148,54,111,936,13,26,196,59,84,53,140,0,0,1
yang-wei/rd3,jshint,0.233333333,18.3,0.233333333,0,0,1,1,1,20,0,1,2,1,1,0,1,1,1,0
yang-wei/rd3,eslint,1,18.3,0.233333333,6,2,6,3,5,47,0,2,12,4,7,1,11,0,0,1
zeromq/zeromq.js,codecov,0.4,80,0.1,0,2,2,1,2,39,0,0,2,0,1,1,2,1,0,1
twigjs/twig.js,mocha,4.266666667,55.73333333,4.266666667,6,8,10,1,10,93,1,0,1,0,0,1,1,1,-1,1
onsip/SIP.js,jshint,41.13333333,65.86666667,22.7,25,5,27,3,26,619,0,2,20,7,4,9,3,0,0,0
onsip/SIP.js,eslint,0.3,65.86666667,0.233333333,2,1,4,2,2,12,1,0,3,2,0,1,3,0,0,1
frontpressorg/frontpress,codacy,1.066666667,6.433333333,1.066666667,3,0,4,1,3,110,0,1,1,0,1,0,1,1,1,1
cujojs/most,eslint,11.56666667,27.83333333,0.133333333,11,4,12,3,11,181,0,2,7,3,4,0,7,0,0,1
kss-node/kss-node,mocha,29.86666667,42.96666667,13.33333333,22,22,23,2,22,539,1,0,7,5,0,2,3,0,0,1
UKHomeOfficeForms/hof-template-mixins,snyk,0.366666667,24.63333333,0.366666667,1,2,2,1,2,12,0,0,1,1,0,0,1,0,0,1
excaliburjs/Excalibur,codeclimate,15.9,30.06666667,15.9,1,0,4,1,4,513,1,0,3,2,0,1,1,1,-1,0
excaliburjs/Excalibur,coveralls,16.23333333,30.06666667,0,2,0,4,2,4,552,0,0,4,3,0,1,3,0,0,1
excaliburjs/Excalibur,jasmine,20.26666667,30.06666667,20.26666667,3,4,4,1,4,722,0,0,5,4,0,1,1,0,0,1
Palindrom/Palindrom,sauce,0.333333333,45.73333333,0.333333333,1,2,2,1,1,6,0,1,1,0,1,0,1,1,1,1
postcss/postcss-mixins,eslint,9.5,10.3,9.5,7,5,8,1,7,91,0,0,1,1,0,0,1,0,0,1
babel/babylon,eslint,5.766666667,49.76666667,0.466666667,19,23,26,2,25,174,0,1,9,5,1,3,2,1,1,1
babel/babylon,istanbul,12.73333333,62.13333333,4.733333333,57,38,72,3,71,503,3,0,46,18,13,15,3,0,0,0
percy/react-percy,eslint,1.066666667,6.6,1.066666667,2,3,4,2,4,27,0,2,3,1,2,0,3,0,0,1
twbs/bootstrap,sauce,23.53333333,32.63333333,0.033333333,392,26,400,5,399,6316,1,2,7,4,2,1,7,0,0,1
amir20/phantomjs-node,codecov,0.8,67.76666667,0.8,0,0,1,1,1,7,0,1,1,0,1,0,1,1,1,1
Asana/node-saml-lib,jshint,0.066666667,25.43333333,0.066666667,2,0,2,1,2,10,0,0,1,1,0,0,1,0,0,1
cliftonc/calipso,mocha,5.133333333,22.06666667,5.133333333,3,1,4,1,3,120,0,0,1,1,0,0,1,0,0,1
mapbox/node-sqlite3,eslint,1.133333333,83.93333333,1.133333333,2,3,3,1,3,14,0,0,2,2,0,0,2,0,0,1
mapbox/node-sqlite3,mocha,12.46666667,44.03333333,1.133333333,5,5,6,2,5,23,0,2,4,1,3,0,4,1,2,1
gr2m/moment-parseformat,jshint,1.866666667,21.03333333,1.866666667,2,1,3,1,3,28,0,0,2,1,1,0,1,0,0,0
alexgorbatchev/node-browser-builtins,sauce,0.3,6.9,0.133333333,2,1,3,2,2,7,0,1,2,1,1,0,2,1,1,1
ipfs/js-ipfs-api,sauce,0.1,13.73333333,0.066666667,1,1,4,3,2,8,0,1,4,3,1,0,4,0,0,1
ipfs/js-ipfs-api,karma,0.4,13.73333333,0.3,3,1,3,3,3,68,1,1,14,7,4,3,10,1,1,1
ipfs/js-ipfs-api,mocha,1.033333333,8.933333333,0.166666667,3,4,6,2,5,24,0,1,4,3,1,0,4,0,0,1
ipfs/js-ipfs-api,uglify,6.6,36.33333333,6.6,11,7,14,1,14,93,0,1,2,0,1,1,1,1,1,1
eventbrite/javascript,eslint,13.23333333,13.53333333,4.633333333,18,3,18,3,18,121,0,2,9,4,4,1,9,0,0,1
binary-com/binary-live-api,istanbul,0.766666667,10.93333333,0.766666667,1,0,3,1,2,30,0,1,1,0,1,0,1,1,1,1
cytoscape/cytoscape.js,uglify,48.7,78.16666667,34.13333333,52,3,53,2,52,2939,0,0,3,3,0,0,2,0,0,1
cytoscape/cytoscape.js,minifier,31.96666667,78.16666667,31.96666667,30,0,31,1,31,1851,0,0,1,1,0,0,1,0,0,0
KeitIG/museeks,eslint,0.233333333,17.06666667,0.233333333,2,0,2,2,2,35,0,0,3,3,0,0,3,0,0,1
onefinestay/react-daterange-picker,karma,0.166666667,13.1,0.166666667,1,0,3,1,3,23,0,0,1,1,0,0,1,0,0,1
digitalbazaar/jsonld.js,karma,43.23333333,91.83333333,43.23333333,16,6,18,1,18,553,0,0,1,1,0,0,1,0,0,1
digitalbazaar/jsonld.js,mocha,60.63333333,91.83333333,53.86666667,21,13,25,1,25,1063,0,0,3,3,0,0,2,0,0,1
yandex-ui/noscript,jshint,15.36666667,32.5,0.366666667,10,2,10,5,10,622,1,0,42,41,0,1,40,0,0,1
yandex-ui/noscript,karma,0.2,32.5,0.2,0,1,2,1,2,26,0,0,2,2,0,0,2,0,0,1
angular-ui/bootstrap,karma,1.2,6.9,0.766666667,12,4,14,4,13,37,2,1,6,3,1,2,6,0,0,1
jvilk/BrowserFS,karma,41.53333333,42.36666667,8.966666667,9,2,10,4,9,206,2,0,12,7,1,4,12,0,0,1
Medium/pbnj,eslint,0.666666667,31.36666667,0.666666667,1,1,1,1,1,9,0,0,1,1,0,0,1,0,0,1
casperjs/casperjs,jshint,23.13333333,44,0.733333333,78,79,80,8,78,528,3,3,17,3,6,8,15,0,0,1
casperjs/casperjs,eslint,0.233333333,44,0.233333333,3,2,7,1,6,11,1,0,1,0,0,1,1,1,-1,1
geowarin/friendly-errors-webpack-plugin,eslint,3.266666667,9.533333333,3.233333333,6,4,7,1,7,30,1,0,4,1,0,3,4,1,-3,1
websockets/ws,coveralls,1.166666667,62.4,0.066666667,3,4,5,1,5,52,1,0,4,2,1,1,2,1,-1,1
websockets/ws,eslint,4.7,60.63333333,4.666666667,10,7,13,2,13,111,0,1,5,3,1,1,4,0,0,1
websockets/ws,mocha,9.6,60.63333333,9.433333333,18,21,22,2,21,141,0,2,8,4,3,1,3,0,0,1
appnexus/lucid,codecov,0.7,10.23333333,0.7,1,1,5,1,5,83,1,0,2,1,0,1,1,1,-1,1
appnexus/lucid,eslint,0.966666667,10.23333333,0.633333333,2,3,5,2,5,99,0,1,4,2,1,1,3,0,0,1
appnexus/lucid,mocha,9.8,10.23333333,9.8,18,7,19,1,19,1468,0,0,11,7,3,1,1,0,0,0
appnexus/lucid,karma,5.166666667,6.533333333,0.5,12,0,14,1,14,765,0,1,6,4,2,0,2,1,2,1
economist-components/component-grid,karma,8.133333333,8.3,8.133333333,7,6,8,1,7,94,0,0,1,1,0,0,1,0,0,1
shama/webpack-stream,eslint,4.833333333,18.86666667,4.833333333,6,2,7,1,6,34,1,0,1,0,0,1,1,1,-1,0
shama/webpack-stream,uglify,31.3,43.53333333,20.53333333,19,3,19,3,18,108,1,0,6,3,0,3,3,0,0,1
qunitjs/qunit,coveralls,0.966666667,70.46666667,0.733333333,4,5,6,2,5,19,1,0,7,4,2,1,3,0,0,1
qunitjs/qunit,jshint,53.53333333,70.56666667,11.16666667,71,34,75,8,74,611,3,2,152,76,40,36,41,0,0,0
qunitjs/qunit,eslint,1.6,70.56666667,0.066666667,4,5,8,4,7,14,1,1,28,13,8,7,15,0,0,1
qunitjs/qunit,jasmine,8.766666667,70.46666667,8.766666667,9,5,13,1,12,89,0,1,18,8,6,4,1,1,1,0
qunitjs/qunit,mocha,25.63333333,70.46666667,10.5,42,24,44,10,38,343,4,0,47,24,9,14,15,0,0,0
yui/shifter,jshint,4.733333333,6,0.733333333,9,1,10,2,9,212,2,0,3,1,0,2,3,0,0,1
squaremo/amqp.node,mocha,17.96666667,27.53333333,17.96666667,10,7,10,1,10,122,1,0,1,0,0,1,1,1,-1,1
taskcluster/taskcluster-client,eslint,1.266666667,43.8,1.266666667,2,3,4,1,3,17,1,0,2,1,0,1,2,1,-1,1
backbone-paginator/backbone-pageable,jasmine,6.366666667,7.8,6.366666667,7,1,8,1,7,108,1,0,1,0,0,1,1,1,-1,0
peterramsing/lost,codecov,2.433333333,28.76666667,1.1,3,1,4,2,3,88,0,2,4,0,3,1,2,1,1,1
peterramsing/lost,eslint,11.7,22.1,11.7,7,4,8,1,8,251,1,0,1,0,0,1,1,1,-1,1
dodo/node-slug,mocha,22.7,26.26666667,22.66666667,7,3,7,2,7,73,0,2,3,0,3,0,3,1,2,1
ncb000gt/node-es,istanbul,0.133333333,59.6,0.133333333,0,1,2,1,1,7,0,0,1,1,0,0,1,0,0,1
US-CBP/cbp-theme,eslint,1.5,16.03333333,1.366666667,0,0,2,1,2,28,0,0,3,2,1,0,2,0,0,0
pburtchaell/react-notification,eslint,0.866666667,20.76666667,0.4,4,1,4,2,4,20,0,2,10,6,4,0,10,0,0,1
nodebox/opentype.js,mocha,2.066666667,21.43333333,0.166666667,3,1,6,2,5,48,0,1,5,4,1,0,3,0,0,1
getsentry/raven-node,mocha,39.73333333,55.13333333,39.73333333,31,33,33,2,33,251,0,1,23,15,5,3,6,0,0,1
datastax/nodejs-driver,eslint,1.133333333,43.5,0.5,2,0,3,2,3,12,0,1,5,2,2,1,5,0,0,1
yeoman/generator-karma,karma,0.033333333,6.6,0.033333333,2,1,3,2,2,4,0,1,2,1,1,0,2,1,1,1
QubitProducts/cherrytree,sauce,17.4,26.16666667,0.133333333,4,2,4,1,4,272,0,0,7,6,0,1,5,0,0,1
QubitProducts/cherrytree,karma,12.16666667,26.16666667,12.13333333,3,2,4,1,4,233,1,0,6,5,0,1,2,1,-1,1
kuzzleio/kuzzle-plugin-auth-passport-local,jshint,5.633333333,18.4,5.633333333,3,0,8,1,8,63,0,0,1,1,0,0,1,0,0,0
MithrilJS/mithril.js,eslint,19.5,35,9.166666667,98,26,107,5,105,1274,1,1,33,10,8,15,7,0,0,1
Polymer/polymer,jshint,35.33333333,60.46666667,22.86666667,105,40,111,5,107,3827,2,1,128,55,32,41,8,0,0,0
Polymer/polymer,eslint,23.4,60.46666667,1.266666667,67,36,79,15,70,2314,0,4,90,43,20,27,28,0,0,1
Polymer/polymer,sauce,20.36666667,37.13333333,0.466666667,54,21,58,3,58,1895,1,1,47,17,14,16,3,0,0,1
Polymer/polymer,selenium,0.433333333,37.13333333,0.433333333,0,1,7,1,7,39,0,1,2,1,1,0,1,1,1,0
Polymer/polymer,karma,29.96666667,37.13333333,25.16666667,64,12,65,2,64,2458,1,1,58,22,17,19,2,1,1,0
mapbox/carmen,jshint,5.4,40.86666667,0.233333333,5,9,11,3,10,564,0,0,5,4,0,1,3,0,0,0
mapbox/carmen,eslint,0.233333333,40.86666667,0.233333333,0,1,4,1,3,28,1,0,2,1,0,1,1,1,-1,1
mapbox/carmen,mocha,10.46666667,24.53333333,10.46666667,5,5,5,1,5,147,0,0,1,1,0,0,1,0,0,1
jquense/yup,eslint,5.866666667,36.46666667,2.6,10,6,11,2,10,53,1,0,2,1,0,1,2,1,-1,1
open-xml-templating/docxtemplater,sauce,34.36666667,53.23333333,6.366666667,18,8,20,2,19,461,0,0,6,5,1,0,2,0,0,1
caolan/async,coveralls,0.233333333,61.43333333,0.2,1,2,2,2,1,6,0,1,2,1,1,0,2,1,1,1
caolan/async,jshint,35.3,74.66666667,25.06666667,119,83,120,4,120,841,1,1,99,48,29,22,4,0,0,1
caolan/async,sauce,1.966666667,63.5,1.966666667,12,3,13,1,13,142,0,0,22,13,4,5,1,0,0,0
caolan/async,selenium,0.966666667,63.5,0.966666667,5,1,6,1,5,70,1,0,20,12,4,4,1,1,-1,0
caolan/async,karma,0.433333333,63.5,0.366666667,2,1,3,1,3,31,0,0,14,8,3,3,2,0,0,1
caolan/async,mocha,23.53333333,63.5,0.266666667,68,42,70,5,67,377,2,1,52,27,10,15,20,0,0,1
swagger-api/swagger-js,selenium,0.1,40.2,0.1,2,4,5,2,4,55,0,0,3,1,1,1,3,1,0,1
swagger-api/swagger-js,mocha,0.933333333,35.9,0.933333333,3,3,4,2,3,70,0,1,3,2,1,0,3,0,0,1
jshint/jshint,coveralls,0.733333333,49.9,0.033333333,3,6,7,2,7,25,0,1,20,8,7,5,5,0,0,1
jshint/jshint,jasmine,45.86666667,49.9,1.2,169,32,170,6,167,1377,2,2,1202,519,276,407,6,0,0,0
jshint/jshint,mocha,34.8,49.9,3.133333333,146,76,151,8,148,1085,3,2,968,413,218,337,10,0,0,0
jshint/jshint,istanbul,22.06666667,49.9,0.733333333,117,27,123,2,122,795,1,0,710,306,165,239,2,1,-1,1
jshint/jshint,jshint,24.7,26.96666667,0.033333333,198,8,198,166,56,631,65,37,520,229,120,171,484,0,0,1
alexei/sprintf.js,eslint,15.86666667,50.66666667,0.7,10,2,11,4,9,61,1,2,9,5,3,1,8,0,0,1
alexei/sprintf.js,mocha,37.53333333,50.66666667,15.96666667,17,9,18,1,18,212,0,0,11,7,3,1,2,0,0,1
felixrieseberg/ember-electron,jshint,20.23333333,23.9,7.266666667,32,6,32,3,32,430,0,1,27,14,7,6,3,0,0,0
felixrieseberg/ember-electron,eslint,12.93333333,23.9,4.2,18,8,21,4,19,305,2,2,22,12,4,6,7,0,0,1
felixrieseberg/ember-electron,mocha,1.166666667,18.96666667,0.466666667,5,6,6,3,6,67,2,1,7,3,2,2,4,0,0,1
bithavoc/express-winston,mocha,0.466666667,30.76666667,0.466666667,2,1,4,1,3,6,0,1,1,0,1,0,1,1,1,1
