group,month,num
With Exposure,-11,0.09012655579960259
With Exposure,-10,0.10341665795070247
With Exposure,-9,0.08817069344210857
With Exposure,-8,0.07910046495706989
With Exposure,-7,0.11570815963661903
With Exposure,-6,0.1533103231879511
With Exposure,-5,0.1500801868702716
With Exposure,-4,0.14473817243663492
With Exposure,-3,0.15205039704569043
With Exposure,-2,0.17522972791250166
With Exposure,-1,0.23060685523032554
With Exposure,0,0.386115463868837
With Exposure,1,0.39596668758498077
With Exposure,2,0.28515845622842795
With Exposure,3,0.2690394011385539
With Exposure,4,0.26110820201657975
With Exposure,5,0.25367411847644034
With Exposure,6,0.21065252688252373
With Exposure,7,0.18373601087752334
With Exposure,8,0.19430150263222126
With Exposure,9,0.20598786737788946
With Exposure,10,0.17764878150821042
With Exposure,11,0.17151598009771832
With Exposure,12,0.1690145097032452
Without Exposure,-11,0.23507152528845732
Without Exposure,-10,0.22574364086850468
Without Exposure,-9,0.22897951332215533
Without Exposure,-8,0.23365353661086327
Without Exposure,-7,0.22484636132267136
Without Exposure,-6,0.2183369407212933
Without Exposure,-5,0.23205268637142382
Without Exposure,-4,0.24962224262506646
Without Exposure,-3,0.26105732594985803
Without Exposure,-2,0.2957316093825582
Without Exposure,-1,0.33784021424412564
Without Exposure,0,0.4156850679913121
Without Exposure,1,0.3938455836949715
Without Exposure,2,0.3504086681369393
Without Exposure,3,0.2995725042989425
Without Exposure,4,0.31439715106564803
Without Exposure,5,0.32554968303321
Without Exposure,6,0.3044878156210377
Without Exposure,7,0.25572898362674895
Without Exposure,8,0.24659373328968548
Without Exposure,9,0.280765746125018
Without Exposure,10,0.28464651784780454
Without Exposure,11,0.2844855550613317
Without Exposure,12,0.2605848105455888
