,codacy,codeclimate,codecov,coveralls,coverity,eslint,gemnasium,istanbul,jasmine,jshint,karma,minifier,minimist,mocha,sauce,selenium,snyk,standard,uglify
codacy,0,0.2240445608741621,0.173621364721923,-0.032171623872163912,-0.02932188424317,,,,,,,,,,,,,,
codeclimate,0,0.09071122754082878,-0.0562731821874,0.17176941848621017,0.17217632149,,,,,,,,,,,,,,
codecov,0,-0.14262210579250454,0.03159517019053942,-0.1280675996543794,-0.034812712382,,,,,,,,,,,,,,
coveralls,0,-0.123847321385746,0.2377734836211749,0.1369000979776029,0.0873621354732,,,,,,,,,,,,,,
coverity,0,-0.082948374123843,-0.16222651637882515,-0.09721736123213,0.06578671694950765,,,,,,,,,,,,,,
eslint,,,,,,-0.1059074486847651,,,,0.08310153148714805,,,,,,,,0.011638568303495703,
gemnasium,,,,,,,0,,,,,,,,,,-0.19806890548403355,,
istanbul,,,,,,,,-0.1797675336985863,-0.1714438643787023,,,,,-0.1586457973515536,,,,,
jasmine,,,,,,,,-0.10993881169595125,-0.010813459066464113,,,,,0.0567864783639732,,,,,
jshint,,,,,,0.08427238421933592,,,,0.06560335093998775,,,,,,,,0.057544186922757506,
karma,,,,,,,,,,,0.03054752720232311,,,,-0.043385300211970165,0.015095113213914149,,,
minifier,,,,,,,,,,,,0,-0.032818239147123,,,,,,0.172792498649306
minimist,,,,,,,,,,,,0,-0.0723617283642,,,,,,-0.042792219312306
mocha,,,,,,,,0.06802238229113289,0.3104503027314117,,,,,0.12497447724180348,,,,,
sauce,,,,,,,,,,,0.000528546088166137,,,,0.13269443515912366,0.010881312308936771,,,
selenium,,,,,,,,,,,0.022534150873837425,,,,0.12686685897902003,-0.029750562491892247,,,
snyk,,,,,,,0,,,,,,,,,,0.051931094515966475,,
standard,,,,,,0.17375267470682393,,,,0.05723068091684471,,,,,,,,0.02509870238645102,
uglify,,,,,,,,,,,,0,-0.09302325581395349,,,,,,-0.014110114966922256
