,codacy,codeclimate,codecov,coveralls,coverity,eslint,gemnasium,istanbul,jasmine,jshint,karma,minifier,minimist,mocha,sauce,selenium,snyk,standard,uglify
codacy,0,0.082331765,-0.027123612,-0.028273175,-0.032172149,,,,,,,,,,,,,,
codeclimate,0,-0.148297136,-0.083727361,0.036271863,-0.023271249,,,,,,,,,,,,,,
codecov,0,-0.042622106,-0.142226516,-0.084659153,0.018321847,,,,,,,,,,,,,,
coveralls,0,-0.032838127,-0.137447721,-0.109860682,-0.122387125,,,,,,,,,,,,,,
coverity,0,-0.072196322,-0.072613618,-0.072163263,-0.065786717,,,,,,,,,,,,,,
eslint,,,,,,0.050300767,,,,-0.043729231,,,,,,,,-0.081606959,
gemnasium,,,,,,,0,,,,,,,,,,-0.142981732,,
istanbul,,,,,,,,-0.188008987,-0.051564802,,,,,-0.129595151,,,,,
jasmine,,,,,,,,-0.05176439,0.030370215,,,,,-0.051207723,,,,,
jshint,,,,,,0.133049031,,,,-0.073811174,,,,,,,,0.011429143,
karma,,,,,,,,,,,-0.00901513,,,,0.064932985,-0.044471305,,,
minifier,,,,,,,,,,,,0,-0.032892173,,,,,,0.023712351
minimist,,,,,,,,,,,,0,-0.072187382,,,,,,0.132792499
mocha,,,,,,,,0.116752852,-0.048395724,,,,,0.03443295,,,,,
sauce,,,,,,,,,,,0.003449923,,,,-0.032416498,-0.041870673,,,
selenium,,,,,,,,,,,-0.004979652,,,,0.088905802,-0.08422735,,,
snyk,,,,,,,0,,,,,,,,,,-0.198068905,,
standard,,,,,,0.079666927,,,,0.012617131,,,,,,,,0.032775301,
uglify,,,,,,,,,,,,0,-0.093023256,,,,,,0.120287004
