ashiina/lambda-local,mocha,2016-04-09T12:34:17Z,added lambda properties. refactored. wrote mocha test,neutral
jprichardson/electron-mocha,mocha,2016-03-18T04:32:20Z,original mocha works well in intellij console.,neutral
jprichardson/electron-mocha,mocha,2016-04-09T12:50:52Z,i agree with jprichardson that we should be careful not to add too much extra functionality to electron-mocha; most users just want to effortlessly use a regular mocha setup with electron after all. having said that. i understand that this is a pretty cool feature for unit testing code for the web. perhaps we can simplify the approach a little bit. though. to ease the maintenance burden?just thinking out loud. but could you. for example. `--require` a module that adds script tags to the head of the page? (for this to work we'd probably also need to make sure `mocha.run` waits for dom ready.)if this works. we could add the `--scripts` option but simply have it add the script tags (it could run right after the current requires). in particular. i would much prefer to keep the static index.html as is and not to open all the script files ourselves (using script tags with a src attribute instead) as it makes debugging much easier. if this works. we'd be able to expose the same feature with very little code. orbitbot do you think that would work or am i missing something?,neutral
jprichardson/electron-mocha,mocha,2016-04-09T14:48:44Z,i'd gladly make this simpler if there's a reasonable way of doing it. a separate module didn't come to mind initially. but i can't immediately see how something outside electron-mocha itself would work.> just thinking out loud. but could you. for example. --require a module that adds script tags to the head of the page? (for this to work we'd probably also need to make sure mocha.run waits for dom ready.)> > if this works. we could add the --scripts option but simply have it add the script tags (it could run right after the current requires). i'm not sure on how electron handles scripts with source attributes. but it's worth testing. if the source attributes don't work then it should still work by basically using the same logic as in the modified `index.js` in this pr on the page itself. but in that case nothing much has been achieved with the changes.> in particular. i would much prefer to keep the static index.html as is and not to open all the script files ourselves (using script tags with a src attribute instead) as it makes debugging much easier. well. hopefully your existing tests would explode at reasonable places. but i guess this way it might be possible to get better stack traces for errors.i can have a go and open a separate pr or report back with results.,negative
jprichardson/electron-mocha,mocha,2016-04-10T11:37:46Z,orbitbot ah. i just tried the same thing over at inukshuk/electron-mocha#scripts -- would you mind calling the option `preload` and have it work exactly like `require`. i.e.. you can use it multiple times instead of a comma separated list?,neutral
jprichardson/electron-mocha,mocha,2016-04-10T16:03:10Z,add tests for mocha.opts. --require. and --preload. reorganize test files to make them easier to call.add tests to run scripts.,neutral
jprichardson/electron-mocha,mocha,2016-04-10T16:27:36Z,hi madarche is this still something you would like to see merged? i am sure this can be helpful. but i think it might be a better idea to put this into a separate repository where it can be maintained separately (or at least pinned to a specific electron-mocha release so we don't have to worry about breaking anything).(also. i'm not sure what you mean by 'renderer view' exactly),neutral
jprichardson/electron-mocha,mocha,2016-04-10T17:17:38Z,by 'renderer view' i mean a part of the ui of an electron app. that is an html page as spawn by the main process through a renderer process (typically like `main_window.loadurl(an_html_page_path)`.for example atom is an electron app. and a developer could want to test the menus of this app (for example to test that when the user clicks on the save menu item the application doesn't crash).ideally i would like to be able to test the whole ui of the electron demo app (that is the main.js of the electron demo app could be loaded). but i don't see how to do it at least now. a less powerful and easier to develop. but still useful. approach would be to provide something like a `--view an_html_page_path` option to electron-mocha that would  `main_window.loadurl(an_html_page_path)`. what do you think?,neutral
jprichardson/electron-mocha,mocha,2016-04-11T16:11:33Z,i think that providing a framework to test electron views in this sense is probably out of scope for electron-mocha (we just want to 'run mocha tests in electron'). however. we should definitely allow for such tests to be built on top of electron-mocha.your second suggestion (providing an option to an html file) is the one i was initially thinking about as well. in theory. you could achieve something very similar now. by using `--require` or `--preload` to run a script which replaces the body of the page with the one you would like to test (you can also inject css and so on). right? alternatively. if we had the proposed `--view` option. we'd have to run the mocha setup in a preload script. while that should work. it wouldn't be a silver bullet either (e.g.. what if your electron view also depends on a preload script?) what i'm trying to say is that testing your view like this probably works already. but it requires you to set everything up before the tests are run; would adding a `--view` option really help that much? my feeling is no. but i'm happy to be convinced otherwise. just taking the app i'm working on at the moment. i'd still have to write a lot of scaffolding to set everything up. i'm not sure that i'd really benefit from having the `--view` option. what do you think?the first option is intriguing. too. but i doubt that we could set this up in a generic way either. for instance. what if your app depends on command line parameters to be called? regarding the examples. i don't know what jprichardson thinks. but i'd prefer this to go into a separate repo or into a gist. we could add a link to the readme to make sure people looking for examples find it.,negative
jprichardson/electron-mocha,mocha,2016-04-12T07:18:10Z,thanks a lot inukshuk for your detailed answer. at first i thought that electron-mocha aim could be to test electron apps too. but as you reminded me: electron-mocha is 'just run mocha tests in electron' (which is good too :-) )reading you i reach the same conclusions as you. so this pr can safely be closed and i will look for another project that makes it possible to test electron apps.thanks again!,positive
jprichardson/electron-mocha,mocha,2016-04-12T07:20:28Z,as explained in details in #38 by inukshuk. electron-mocha is just to run mocha tests in electron. not to test electron apps.,neutral
ramda/ramda,jshint,2014-11-14T17:53:08Z,crosseye i have node already. used jshint but apparently it has different requirements. will do :+1: kedashoe i thought curryn would be more performant. wasnt sure if thats the case i guess i can switch to curry.ok cool so how would i setup the examples page. since the docs are normally generated ?,positive
ramda/ramda,jshint,2014-11-24T01:07:31Z,add npm run target for jshint. find it very handy just being able to run jshint and unit tests as npm commands. this addition just caters for developers with a similar workflow. granted. using grunt off the command line achieves the same thing but hoping there is no compelling reason not to include this mechanism too.,positive
ramda/ramda,jshint,2014-11-24T05:19:17Z,works for me.,neutral
ramda/ramda,jshint,2014-11-24T11:31:08Z,yup,neutral
ramda/ramda,jshint,2014-11-24T12:45:42Z,:herb:,neutral
