stipsan/uikit-react,eslint,2016-08-07T12:53:11Z,stricter eslint rules,neutral
shouldjs/should.js,mocha,2014-11-30T12:40:20Z,also with latest mocha you can return promise instead of calling `done`,neutral
infernojs/inferno,eslint,2017-02-04T15:25:44Z,hey havunen. many thanks for the fast response. no. i'm not using `inferno-compat` for that exact reason - it's a shame to be forced into using it just  to use `inferno.proptypes` (or indeed `eslint` with `plugin:inferno/recommended` settings).my experience with inferno has been very positive (many thanks to all involved!) but this feels like an oversight. was there a specific motivation for omitting proptypes from the core library api then?,positive
infernojs/inferno,eslint,2017-02-07T06:23:30Z,i would do that. but first i don't know the reason why it's there and second i am not experienced enough with eslint rules  unfortunately i can't open issues at `eslint-plugin-inferno` because issues are disabled there.,negative
jprichardson/electron-mocha,mocha,2016-09-26T16:55:34Z,debugging no longer has access to to full dev tools. debugging is great in electron-mocha with `--debug-brk` flag. with the #82 fix though. you lose some of this functionality. you can still set break points and step through the code. but since the window isn't focusable. you lack the ability to interact with the running code via the console. which is very helpful at times.does it seem reasonable that. if you are running in debug mode. you'd want electron-mocha to steal focus? would it be amenable if we set the window properties conditionally on the flag? if so. i can make a pull request with the change.,negative
jprichardson/electron-mocha,mocha,2016-09-26T19:04:16Z,yes. i think that's fine... i mean. if you want to use the debugger. you want to focus the window obviously.,positive
jprichardson/electron-mocha,mocha,2016-09-30T04:38:34Z,debugging unit tests. please provide better documentation on how electron-mocha unit tests can be debugged. right now it is completely non-obvious.,positive
jprichardson/electron-mocha,mocha,2016-09-30T12:42:48Z,debugging main process. should the electron-mocha launch a debugger by default when debugging the main process?debugging the renderer process works fine. but when i try to debug the main process electron-mocha just seems to hang at the first breakpoint. how can i see/launch the debugger?,neutral
jprichardson/electron-mocha,mocha,2016-09-30T22:10:54Z,html files. like mocha-phantomjs?. phantomjs' entry point is an html file. unlike electron. so i can understand why there is either no support or no mention of support for using an html file as an entry point with this module. however. the nice thing about [mocha-phantomjs]( doing so is that we can also run those tests in real browsers.,positive
ramda/ramda,sauce,2014-11-08T23:31:29Z,i have no objection. so long as it meets buzzdecafe's expectations for sauce.,negative
ramda/ramda,sauce,2014-11-09T01:15:22Z,lint sauce files. i see no reason to treat these files as second-class citizens. :),positive
ramda/ramda,sauce,2014-11-09T01:19:39Z,lvgtm,neutral
ramda/ramda,sauce,2014-11-09T01:33:19Z,travis is happy. so i'll merge these changes now.,positive
ramda/ramda,sauce,2014-11-10T00:59:40Z,failing sauce tests. ie8. ie7 are timing out. android and ios tests are failing intermittently. not it!,negative
ramda/ramda,sauce,2014-11-10T01:34:17Z,i think this is the commit that has broken the sauce tests,neutral
ramda/ramda,sauce,2014-11-10T12:10:11Z,can't publish until sauce labs tests are passing again,neutral
ramda/ramda,sauce,2014-11-11T22:11:28Z,`this.r` is undef in ie < 9 in the require shim. i had worked around this with the `ramda` alias.,neutral
ramda/ramda,jshint,2015-05-12T17:31:53Z,thank you! in all my reading of the `contributing.md` i overlooked the lint/jscs stuff! :yum: will correct now.there _will_ be a problem with the `bookmarklet.tmpl.js` because of the handlebars token; i'll see if i can get around that with a jshint ignore comment.,negative
ramda/ramda,jshint,2015-05-14T15:30:01Z,this means it is up to us to detect when unused params/vars occur. it's nice to have the tool catch that. especially since it is not just the three of us contributing. let's follow the principle of least privilege. clearly. we all agree jshint is a pita in `arity`. i argue it should be bypassed there. and left in force everywhere else.,negative
ramda/ramda,jshint,2015-05-30T22:21:41Z,failing jshint. did you run `npm test`?,negative
request/request,standard,2017-04-14T23:13:42Z,jacksongl my concern is that updating it would make it incompatible with those other implementations. if they don't support other hashing standards then we're breaking compatibility with those servers.that said. we should add optional support for another hashing algorithm asap. at some point in the future we can consider a breaking change that would modify the default algorithm.,neutral
request/request,eslint,2014-12-02T09:14:02Z,it might be worth checking where eslint support is on their roadmap as well,neutral
request/request,eslint,2014-12-03T16:18:54Z,so. hound is probably not going to work for us unless they decide to implement other code style checkers.any thoughts on how difficult it would be to write a bit of custom code to leave comments on prs if eslint fails?,neutral
request/request,karma,2015-01-26T06:40:33Z,use karma-browserify for tests. add browser test coverage reporter.. hey.so i started writing some more browser tests. but before i did that. i wanted to make the test runner to compile browserify by itself. and also add some coverage checking (to make it easier to write tests).this pr does the following:- modifies the scripts in package.json to not compile with browserify directly.- modifies the clean script to delete the coverage folder (not sure if this is preferred over adding it to .*ignore)- add some new dependencies.- make sure karma does both coverage and browserify.- also added stderr from the child process that runs karma.i have some follow up questions about how we should structure the actual test suite. but let's do that in another issue.,neutral
request/request,karma,2015-01-27T17:35:55Z,done!,neutral
