pubnub/chat-engine,codacy,2018-01-03T22:24:08Z,put these into travis secretsgit config --global user.email "github-ops-codacypubnub.com"git config --global user.name "pubnub bot",neutral
shouldjs/should.js,mocha,2015-01-27T19:59:25Z,assertion.add should defineproperty with configurable: true. without it. running mocha in continous mode (mocha -w) always fails with typeerror: cannot redefine property: on a defined custom assertion (when assertion is defined in separate file that is included with require on nodejs),neutral
jprichardson/electron-mocha,mocha,2016-11-15T02:24:10Z,stevenvachon do you know if there is a way we can run these tests in an electron browserwindow? i am injecting some scripts into a browserwindow and need a way to test those.,neutral
jprichardson/electron-mocha,mocha,2016-11-19T01:12:58Z,allow renderer process testing in electron-mocha. i couldn't find an easy way to unit test renderer process using electron mocha. is this available on electron-mocha? if so can anyone point me how this can be done?thanks.nischaljprichardson inukshuk,neutral
jprichardson/electron-mocha,mocha,2016-11-19T07:21:42Z,either i misunderstood your question. or you're looking for `electron-mocha --renderer` :) it's well documented in the readme.,positive
jprichardson/electron-mocha,mocha,2016-11-19T19:57:41Z,szwacz oh my bad! must have missed that one. i am actually using gulp-electron-mocha to run my tests. is there a programmatic way i could run this by using gulp-electron-mocha?,negative
jprichardson/electron-mocha,mocha,2016-11-19T23:37:27Z,my apologies for not reading the documentation. i added `renderer: true` as one of the options in gulp-electron-mocha and i am now able to test some of the functions that run in the renderer process. thanks to szwacz for pointing it out.,positive
jprichardson/electron-mocha,mocha,2016-11-20T10:02:54Z,assert not caught in async tests. the following async tests run fine directly in mocha. whereas the error from the second test is not caught when running in electron-mocha instead:````jsvar assert = require('assert');describe('tests'. function(){it('test 1'. function(done){settimeout(function(){assert.ok(true);done();}. 100);});it('test 2'. function(done){settimeout(function(){assert.ok(false);done();}. 100);});});````,negative
jprichardson/electron-mocha,mocha,2016-11-22T19:53:09Z,> do you think it's ok to remove the handler? (mocha also listens for uncaught errors and matches them to the current test)yep. if mocha does this. i think it's redundant if we do as well.,neutral
jprichardson/electron-mocha,mocha,2016-11-22T20:10:49Z,ok cool -- i'll try to fix this then (and will probably get rid of the handler in the process).,neutral
jprichardson/electron-mocha,mocha,2016-11-23T11:07:20Z,added more details to the readme.,neutral
ramda/ramda,eslint,2016-04-04T04:37:17Z,eslint config: allow unused args. so that `function(a. b) { return a + 1; }` is allowed.,neutral
ramda/ramda,eslint,2016-04-04T17:20:05Z,> so that `function(a. b) { return a + 1; }` is allowed.where do we want this?  tests?,neutral
ramda/ramda,eslint,2016-04-04T17:24:44Z,it's coming.,neutral
ramda/ramda,eslint,2016-04-06T13:15:57Z,ok. but note that the first one could be replaced by ``` jsreduceby(inc. 0);```and the second one should not trigger this error. since it uses a parameter later in the order than the unused one.,neutral
request/request,standard,2017-07-08T00:51:18Z,i was trying to do something similar and found the nonstandard `requeststreaminstance.abort()` to work for this purpose.,neutral
request/request,eslint,2015-01-26T21:27:06Z,yeah. let's ignore it and get rid of the `clean` script.  we shouldn't need to put it in `.eslintignore` because we explicitly specify which paths are to be linted. right?,negative
request/request,eslint,2015-01-27T06:53:03Z,added coverage to .npmignore (it was already in .gitignore). removed clean script.you are right. we do specify paths explicitly for eslint. so no worries there.,positive
request/request,coveralls,2015-04-11T12:48:13Z,fix coveralls. added 3 test fixes that was causing the coveralls build to fail (check out the comments).coveralls is now using the github's status api to report the coverage status (instead of using comments) so this will make the merge status bar color change based on the coverage results. just like any other build error do. decrease in coverage will be considered a warning. click on the _show all checks_ button below.,positive
pixijs/pixi.js,eslint,2017-01-05T08:37:24Z,spriterenderer - fix eslint max-len usage,neutral
actionhero/actionhero,standard,2017-03-24T16:40:39Z,crrobinson14 plugin that overwrites the standard function. not very good solutions.,neutral
lukasoppermann/html5sortable,coveralls,2015-07-24T21:08:21Z,currently it fails due to coveralls being in `read only`.,negative
dnajs/dna.js,jshint,2017-11-28T21:52:35Z,jshint the spec files. issue #55,neutral
angular-ui/ui-utils,karma,2013-07-26T08:12:49Z,sorry. this is not a problem with angular-ui. only with the installation instructions in your readme section. the command npm -g install grunt-cli karma bowerfails due to some dependencies related to karma and its plugins. the installation of these is never completed.,neutral
elastic/kibana,mocha,2015-02-09T15:53:40Z,dont works for me:"grunt dev > > local npm module "grunt-contrib-jade" not found. is it installed?> > local npm module "grunt-mocha" not found. is it installed?> > local npm module "grunt-replace" not found. is it installed?running "dev" taskwarning: task "jade" not found. use --force to continue.aborted due to warnings."and:"grunt test build> > local npm module "grunt-contrib-jade" not found. is it installed?> > local npm module "grunt-mocha" not found. is it installed?> > local npm module "grunt-replace" not found. is it installed?running "test" taskwarning: task "jade" not found. use --force to continue.aborted due to warnings."i think i wait for the next beta....,negative
elastic/kibana,selenium,2016-02-11T17:33:31Z,code looks to be functionally correct. but its target seems way too broad. currently this would blow away my intellij project files. vim swap files. functional test screenshots. selenium installation. etc. the list is too long to manually pass in with `--ignore` every time (which didn't work with the npm script. i had to run grunt manually to get --ignore to work). we could add more files to the default ignore list. but the files that exist in a project directory are largely going to be dependent on that developer's environment. what if we created a whitelist instead? something like node_modules. build. target. optimize/*. (maybe esvm)?,negative
ngageoint/geopackage-js,istanbul,2018-05-12T16:17:38Z,add browserify-istanbul dev dependency.. partial fix for #113,neutral
