bower/bower,coveralls,2014-11-20T18:36:49Z,seems like coveralls failed to run on this pr. hence travis fail ...,negative
hakimel/reveal.js,jshint,2013-06-16T21:26:18Z,fixed jshint test failure,negative
webtorrent/webtorrent,standard,2015-05-27T07:26:11Z,this is more of an  issue than a webtorrent one.it looks like we can support seeding folders (both via drag-and-drop and the file upload input) in chrome. the non-standard filesystem api makes this possible. other browsers don't have any mechanism to do this. as far as i can tell.i'm working on a pr to make this work in chrome right now.,neutral
lindell/JsBarcode,coveralls,2016-07-13T15:47:17Z,fix coveralls coverage,neutral
infernojs/inferno,uglify,2017-10-15T17:56:31Z,as lukesheard mentioned. you need to replace "process.env.node_env" with "production" and then uglify the code after that. closing. its working as intended.,neutral
jprichardson/electron-mocha,mocha,2016-12-14T15:54:38Z,you're right that's odd. as-cii did we miss something when we pulled #91?anyway. artemave this looks good. i'd be happy to merge a pr. i wonder if we could eliminate the `firstrun` variable though? the `ready-to-show` event should fire just once initially. not on subsequent reloads i believe (we can use `.once` instead of `.on` to express this expectation more clearly. too) so we might not need it... (but i can look at that later). also. let's use the `mocha-` prefix for the event name. i.e.. `mocha-ready-to-start` or something like that?),negative
jprichardson/electron-mocha,mocha,2016-12-14T16:04:53Z,trigger 'mocha-start' on page reload. otherwise tests only run once on the initial window open and nothing happens on page reload.fixes #96,neutral
request/request,coveralls,2015-05-14T15:53:12Z,actually there might some other issue with coveralls because i'm not seeing the code for my own projects either. still the above procedure can fix the github's status api at least.,neutral
pixijs/pixi.js,eslint,2017-02-08T12:34:08Z,sorry to come here after a long time.indeed your container will scale when you change width/height as so```    set width(value) // eslint-disable-line require-jsdoc    {        const width = this.getlocalbounds().width;```i had the very same issue few days ago while trying to use **autolayout.js** with pixi and the solution is pretty simple. say you have a scene. that has a container that has a sprite like this-scene--container (half size of scene and center-aligned)---sprite(half size of container and center-aligned)if scene is {x:0.y:0.width:200. height:200}then contianer will be {x:50.y:50.width100.height:100} |50->container(100)->50|hence sprite will be {x:25.y:25.width:50.height:50}  |25->container(50)->25|now when the screen resizes. or you just want to resize  you basically do1) apply x.y for containers and dont apply width and heightthat means that the _containers will only move..._ 2) pass the width and height of the container to the sprite so that it knows how much  _sprite should resize and move_ and apply width.height.x.y based on its parent 3) although you did not change the width and height of container... you passsed them to the sprite... the sprite causes the actual width and height (localbounds) to be changed back.,positive
pixijs/pixi.js,eslint,2017-02-15T16:35:22Z,fix doc: add missing type of parameter. add `htmlimageelement`.breaking line because the line is too long (eslint reports error),negative
pixijs/pixi.js,eslint,2017-02-22T22:31:41Z,yes. you do. i searched at the end of the eslint file thinking were ordered alphabetically.,neutral
dnajs/dna.js,mocha,2017-08-22T01:54:30Z,create mocha test for example on in readme,neutral
dnajs/dna.js,mocha,2017-08-22T02:55:35Z,created mocha test for title and author. issue #49,neutral
dnajs/dna.js,mocha,2017-09-12T03:08:05Z,put all mocha tests in spec folder,neutral
dnajs/dna.js,mocha,2017-09-12T03:20:02Z,moved mocha test to spec folder. issue #53,neutral
Zarel/Pokemon-Showdown,mocha,2015-06-18T23:58:16Z,the issue is that you are trying to read it with english grammar. when it was written like that so that it's read as a hierarchy.this is best showcased by using mocha's spec reporter.`mocha -r spec`,positive
serverless/serverless,eslint,2016-08-17T09:59:49Z,flomotlik it seems that my local repo it's not updated with the latest master branch . merging that right now and updating tests where it's needed with the latest mocha and eslint npm packages standards,neutral
serverless/serverless,eslint,2016-09-07T06:46:28Z,ok. simple change but i'm having a bit of trouble with eslint on this one. the regex string is now longer than 100 characters.is that ok to add an exception to the rule for this line or you guys have another suggestion?,neutral
pugjs/pug,mocha,2013-07-10T07:27:53Z,hah. well that was easy. thanks for the pointer on where to look for code changes! saved me several hours of dissecting the code base.pull request submitted with an extra few test cases. mocha output:```$ mocha  ․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․  ․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․․  ․․․․․․․․․․․․․․․․․․․․․․․․․  138 passing (3 seconds)```,positive
