pubnub/chat-engine,codacy,2018-04-24T20:12:09Z,i think that codacy-bot doesn't like that you've only defined the var and never used it. you can do something stupid like ```syncchat.objectify()``` which returns json to resolve this. the proper solution is to create two lint configs. one for tests (where we can disable this) and one for src. where we can keep this enabled.,positive
jprichardson/electron-mocha,mocha,2017-03-20T16:51:36Z,support reporteroptions. add code (from mocha) to correctly parse and pass reporteroptions,neutral
jprichardson/electron-mocha,mocha,2017-03-20T21:29:20Z,can you add the new options line to `readme.md` as well? thanks!,positive
ramda/ramda,jshint,2015-11-12T15:13:34Z,from my post in gitter:since arguments object is used in only compose and pipe family of functions. i went ahead and added the necessary "fake" argument into function declarations... apparently this breaks the build since jshint doesn't like this unused argument :(apparently there is an option to silence this warning: jshint/jshint4ac15f6let me know if you like the pull request and i can fix this problem,negative
ramda/ramda,jshint,2015-11-22T00:50:34Z,fine with me. i have no great love for jscs or jshint. so if we can use 1 tool. and reduce our conf-file count. then let's.,positive
request/request,eslint,2015-05-24T12:22:56Z,flanneljesus i think that's a problem with your ide. i don't think we should make code changes just to please someones code editor. interestingly enough your ide didn't showed you the eslint errors.,positive
request/request,eslint,2015-05-24T12:59:19Z,ah. i found the eslint file in the root of the repo. sorry for this. i'm new to making pull requests to other people's repos. not trying to be an idiot.i would genuinely like to know if other ides recognize 'request.post' though.,neutral
request/request,eslint,2015-05-24T15:32:26Z,flanneljesus you are. by far. not the only person to miss the eslint and make a failing pull request :laughing:.  did you run `npm test`?  looking for and running the test suite are always good things to do before submitting a pull request.as for the changes. :+1:.  i bet yours is not the only ide that has trouble with this.  thanks for contributing!  i hope the failing build didn't scare you off from future contributions to `request` :).simov i don't think we should not make code changes just to not please someone's editor.  there were >9m downloads last month. so we should try to make it a pleasure to develop with `request` for as many users as possible. whenever possible.,positive
request/request,eslint,2015-05-24T15:45:37Z,flanneljesus feel free to squash together your two commits into one.  that way there's less noise in the diffs. in the git blame. etc.  since no one else is tracking the flanneljesus/fix-verbs branch. it's not a faux-pas to rewrite history.  in case you've never done this before. you can:do an interactive rebase onto two commits before head:```git rebase -i head~~```that opens your editor with this:```pick f5eaea8 fix the way http verbs are definedpick a63a3fc fix formatting according to eslint settings```then change the second `pick` to `fixup` like this:```pick f5eaea8 fix the way http verbs are definedfixup a63a3fc fix formatting according to eslint settings```and save and quit.  git will merge together the two commits into one and take the commit message from the first.  interactive rebase is super powerful.  instead of fixup. you can use squash (if you want to edit the commit message of the combined commit) or reword if you just want to change the commit message.  you can also reorder commits (just by reordering the lines in this file) and squash together multiple commits (put multiple fixup/squash in a row).  one thing i often do is find a typo from a few commits ago.  in order to fix that. you add a new commit that fixes it. then do an interactive rebase and reorder the lines and change the new commit to fixup.  it's like the typo never happened (again unless someone is tracking your branch. in which case rewriting history is ugly).  there might be merge conflicts when you reorder commits. so be careful with that.after you change your history. you have to do a _forced_ push to github:```git push --force origin fix-verbs```this automatically updates the pull request!,negative
node-inspector/node-inspector,mocha,2014-02-17T20:39:21Z,:+1: i don't have this functionality in my script. but really like to see coffescript and mocha integration - right now it's easier for me to use command-line debugger with `coffee --nodejs debug` and `mocha debug`,negative
node-inspector/node-inspector,mocha,2014-02-18T08:21:32Z,sidorares debugging mocha tests is easy:``` sh$ node-debug _mocha```supporting coffee script is more difficult. definitely out of scope of this pull request. can you use `coffee -c -w` as a workaround for now?sam-github thanks for review. i have added a couple of commits and replied to the rest of the comments. anything else to improve?,positive
electron-userland/electron-download,standard,2016-11-17T08:22:57Z,unfortunately not. it's es6 from the start. :*)i can make a compatible one very easily or we have to wait for next year. your call...,negative
electron-userland/electron-download,standard,2016-11-17T14:43:31Z,personally. i'm ok with waiting. in the meantime though. is it possible to add tests. particularly for the cache directory migration behavior?,neutral
electron-userland/electron-download,standard,2016-11-20T10:55:19Z,great idea. i discovered my implementation only to be working partially! now it's all good. added a test. :bulb:,positive
elastic/kibana,mocha,2015-06-02T18:19:40Z,lgtm. passing to chris for final looks. since i think he has more mocha knowledge than i do.,neutral
serverless/serverless,eslint,2016-12-05T12:24:50Z,jimmyp thanks for jumping into this one!i think the `eslint` output is fine (no issues) if you don't see anything in red on the console...furthermore the build will fail if you have some linting issues...,positive
pattern-lab/patternlab-node,coveralls,2017-10-20T08:16:59Z,feat(readme): add coveralls badge to readme. closes #728summary of changes:adds coveralls badge,neutral
pattern-lab/patternlab-node,coveralls,2017-10-20T08:38:34Z,add coveralls badge to readme. addresses #729 summary of changes: add the badge!,neutral
pattern-lab/patternlab-node,coveralls,2017-10-20T08:47:08Z,it was done. so i just deleted!,neutral
airbnb/javascript,eslint,2016-11-17T07:37:08Z,ljharb: on what systems does that install command work? does not seem to work on windows 10,neutral
airbnb/javascript,eslint,2016-11-19T03:01:07Z,run the install command in the readme for eslint-config-airbnb-base to ensure your peer dependencies are correct - also make sure you've restarted your editor (like atom) if you're using one.,neutral
airbnb/javascript,eslint,2016-11-21T03:54:51Z,yes. thanks. i'm aware that we have unreleased code. this is intentional - i'll release a breaking change of `eslint-config-airbnb` with the v3 dep of `eslint-plugin-jsx-a11y` when it's ready.in the meantime. please stick with the peer dependencies that the package readme's install command installs.,negative
airbnb/javascript,eslint,2016-11-22T21:50:31Z,i had a similar issue. what resolved for me was updating my global eslint package as atom seems to have been using that to read my package.json. `npm update eslint -g`does that resolve for you?,positive
airbnb/javascript,eslint,2016-11-23T01:22:43Z,alternatively. `npm uninstall -g eslint`. because you shouldn't have a linter installed globally - only per-project.,neutral
airbnb/javascript,eslint,2016-11-25T16:45:19Z,due to eslint limitations with shared configs. this will sadly add another peer dependency for both `eslint-config-airbnb-base` and `eslint-config-airbnb`. that said. this is a good rule that i think we should indeed add. but i'd like to test out the plugin on our codebase before adding it here.,positive
airbnb/javascript,eslint,2016-12-01T06:53:48Z,simenb i don't understand either! the `eslint-plugin-react` says > prevent usage of setstate in componentdidmount (no-did-mount-set-state). anyone can explain?,neutral
airbnb/javascript,eslint,2016-12-01T22:41:08Z,ah - you're using `babel-eslint`. if you're using the "legacy" config. you can't use the babel parser - you need to use the default parser.,neutral
airbnb/javascript,eslint,2016-12-02T16:14:53Z,well that's embarrassing. i was sure i didn't run a global eslint installation anymore.. but turns out i did. so removing it solved my problem. thanks a lot,negative
airbnb/javascript,eslint,2016-12-02T16:42:50Z,correct - airbnb/base is deprecated; use the separate eslint-config-airbnb-base package instead. for just this reason.,neutral
airbnb/javascript,eslint,2016-12-07T01:36:58Z,julesmoretti in your `.eslintrc` file. in the "rules" section.  has all the documentation for eslint.,neutral
airbnb/javascript,eslint,2016-12-09T15:45:22Z,shouldn't eslint-config-airbnb block this error for lifecycle methods?,neutral
airbnb/javascript,eslint,2016-12-09T18:13:21Z,myguysi first. `airbnb/base` is legacy - you want `eslint-config-airbnb-base` for that - but second. if you're using react. you need to use `airbnb` - ie. the top-level one.,neutral
airbnb/javascript,eslint,2016-12-09T18:14:36Z,your `eslintrc` should just be:```js{    "extends": "airbnb".    "parser": "babel-eslint".    "env": {        "node": true.        "jasmine": true.    }.    "rules": {        "id-length": 0.        "indent": [1. 4].        "no-console": 0.        "no-unused-vars": [1. {"vars": "local". "args": "none"}].        "strict": 0.    }.}```,neutral
airbnb/javascript,eslint,2016-12-10T16:13:18Z,fyi. if you just want to enable `for..of` in your own .eslintrc(.js). and keep airbnb's default values for everything else. just put this in the `rules` section:```js'no-restricted-syntax': [  'error'.  'forinstatement'.  'labeledstatement'.  'withstatement'.]```,positive
algolia/vue-instantsearch,eslint,2018-05-30T16:19:33Z,thanks! we definitely need to change eslint,positive
actions-on-google/actions-on-google-nodejs,mocha,2018-06-27T21:15:07Z,output context not working when using rich responses. so i got my basic intents setup with the actions on google client library on aws lambda. my app does some basic order inquiry and allows followup questions on resulting orders through the use of contexts. all of this was working fine. i recently added several rich response elements to the app. namely the basic card and the list. and they are also working. however. my output contexts aren't being received anymore. (the responses received by the simulator and other devices lack the output context section)## steps taken* i've taken a look at the responses from the actions on google simulator and they did not receive output context* checked the logs from google cloud platform and they also have not received output contexts* however. when i send in a test query to my lambda expression or api gateway. i receive the full response. simple responses. rich responses. output context and all.* not surprisingly. my own mocha test cases also get the full contexts.## thoughtsso it seems clear to me that something on the dialogflow end is cutting out my output contexts since i know for sure that all components of my intents work separately. i am wondering if this is intended behavior. that webhook responses cant provide both output contexts and rich responses. if this is intended behavior. then i can probably work around it using the user storage. but if it is not. i'd appreciate any help i can get looking into the issue.,negative
actions-on-google/actions-on-google-nodejs,mocha,2018-06-29T22:59:05Z,i'm sorry hoklaisung. i'm not exactly sure what the issue you're reporting is. it sounds like maybe the responses in the web simulator don't have the context included. but that your webhook always gets it. in that case. what's the actual problem?,negative
actions-on-google/actions-on-google-nodejs,mocha,2018-07-02T14:28:31Z,i was able to fix a seperate problem that got the intents that used output contexts working again. my problem originally was that these intents that rely on output contexts were not working. and i didn't see any output contexts in actions on google's simulator's request or response logs. so i assumed that was where the problem lay. i will say. it does look like the simulator does not show that information regardless(the recieved output context nor the output context being sent to followup intents). and that would be useful to see.,negative
actions-on-google/actions-on-google-nodejs,mocha,2018-07-02T16:15:15Z,thanks for surfacing this.,positive
ninjadev/nin,eslint,2017-07-18T14:35:27Z,should work now. i've had to disable uglify as it can't handle any newer than es5 (so no native async/await in the frontend then).in addition. there were so many indentation errors which showed up now for some reason. i've changed indentation to warn from err in eslintrc.,negative
ninjadev/nin,eslint,2017-07-19T15:13:15Z,is eslint running before or after typescript has altered the source?,neutral
webrtc/samples,selenium,2016-02-12T17:49:35Z,see utilities repo,neutral
webrtc/samples,selenium,2016-03-09T07:05:56Z,the way i have in mind currently is to run test edge by starting node on travis and then execute selenium as a remote webdriver. there are still some pieces missing (like hooking up the edge webdriver with a selenium hub) and some are not yet public but it seems that we don't need to change our overall approach of using travis.,negative
videojs/video.js,coveralls,2015-11-17T17:41:05Z,gkatsev is there any way to run the `coveralls` test locally? as i said. i have my own browserstack credentials but if i attempt to run it i get the following output:```running "coveralls:all" (coveralls) task>> no src files could be found for grunt-coverallswarning: task "coveralls:all" failed. use --force to continue.aborted due to warnings.```just a little information on why we're wanting this feature: this has great value. especially for broadcasters (we are a news station and are working to integrate this player as our new video player) who. by law. have to provide closed captions for live streams. which is currently done through rtmp in our system.,positive
tediousjs/tedious,eslint,2016-09-21T02:35:36Z,converted connector-test.coffee to javascript. eslint is passing. so i hope it's es2015 :),positive
prettier/prettier,eslint,2017-12-14T11:57:23Z,chore(docs): add webstorm setup with eslint integration. as webstorm has already integrated eslint support i find this more easy to setup and might be nice for ohers to know about.,positive
prettier/prettier,eslint,2017-12-14T15:41:42Z,i think that'd be easier as a eslint autofixable rule and run `prettier-eslint`.. that would mean: your code is formatted by prettier and then eslint rules can change the code.you could match `import`s and join the statement in a single line.,positive
prettier/prettier,eslint,2017-12-14T21:10:38Z,mitermayer i don't mind labeling as high priority. but that doesn't mean anyone will want to work on this...i haven't tried. but i believe it's kinda hard to bisect (for each flow commit. build the parser. link to prettier. link to draft-js codebase. run `eslint`) and it's not guaranteed find something actionable in the end.,negative
prettier/prettier,eslint,2017-12-14T22:33:53Z,don't use eslint-plugin-prettier's config. that should be considered deprecated as it breaks formatters like prettier-vscode and prettier-atom which use the `resolveconfig` api.,neutral
prettier/prettier,eslint,2017-12-18T10:10:50Z,convert eslint config and users/languages/editors files to yaml. yaml is much cleaner. easier to edit. and more diff-friendly than json. hopefully this will prevent merge conflicts with people adding new users to prettier.io,neutral
prettier/prettier,eslint,2017-12-18T11:49:50Z,add `root: true` to .eslintrc.yml. this ensures that peoples’ eslint configurations in parent directories aren’t used when linting prettier.,positive
