bower/bower,coveralls,2015-04-27T05:20:12Z,ok. so i merged in master. and now the coverage is passing but travis just went from passing to failing. the failure is the grunt task `exec:coveralls` i do not believe this is related to my code.,negative
webtorrent/webtorrent,standard,2015-10-24T10:14:39Z,i don't know. i don't think _bittorrent_ protocol itself includes any content discovery mechanisms. that's why bittorrent trackers exist. the bridging solution i was talking about earlier i presume would work by implementing a tracker server software which supports both desktop torrent clients and _webtorrent_ and serves the pieces between both kinds of clients transparently. tracker servers are not standardized afaik and thus each one has different content discovery mechanisms. in case of kat and most of the others. this purpose is served by the website that lists the torrents in the tracker's database. theoretically you can enumerate kat's torrents by scraping the website and similarly you should be able to scrape the webtorrent<>bittorrent tracker's website/api.but realistically: no. i don't think you can enumerate that: really though. someone who knows what they are talking about should chip in to confirm or correct this.,negative
infernojs/inferno,mocha,2016-09-19T22:07:09Z,ah ok its the && between cross-env and mocha command. this will make both commands run in different environments. if you remove the && and put the env value into single quotes it works for me"cross-env ts_node_compiler_options='{\"module\":\"commonjs\"}' mocha --recursive --bail --opts config/mocha.opts"one test fails,neutral
infernojs/inferno,uglify,2018-04-04T13:33:11Z,havunen will try to create example. strange error. maybe this is uglify problem or something.,negative
jprichardson/electron-mocha,mocha,2017-05-24T14:53:49Z,fix eperm exception that can occur when cleaning up temporary files. i get the following error when running tests for `electron-mocha` and when running tests with coverage for my own project.```{ error: eperm: operation not permitted. unlink 'c:\users\micros~1\appdata\local\temp\electron-mocha-aw5ldg\gpucache\data_0'    at object.fs.unlinksync (fs.js:1091:18)    at fixwinepermsync (s:\projects\_github\electron-mocha\node_modules\fs-extra\lib\remove\rimraf.js:169:13)    at rimrafsync (s:\projects\_github\electron-mocha\node_modules\fs-extra\lib\remove\rimraf.js:260:26)    at options.readdirsync.foreach.f (s:\projects\_github\electron-mocha\node_modules\fs-extra\lib\remove\rimraf.js:291:39)    at array.foreach (native)    at rmkidssync (s:\projects\_github\electron-mocha\node_modules\fs-extra\lib\remove\rimraf.js:291:26)    at rmdirsync (s:\projects\_github\electron-mocha\node_modules\fs-extra\lib\remove\rimraf.js:283:7)    at fixwinepermsync (s:\projects\_github\electron-mocha\node_modules\fs-extra\lib\remove\rimraf.js:167:5)    at rimrafsync (s:\projects\_github\electron-mocha\node_modules\fs-extra\lib\remove\rimraf.js:260:26)    at options.readdirsync.foreach.f (s:\projects\_github\electron-mocha\node_modules\fs-extra\lib\remove\rimraf.js:291:39)  errno: -4048.  code: 'eperm'.  syscall: 'unlink'.  path: 'c:\\users\\micros~1\\appdata\\local\\temp\\electron-mocha-aw5ldg\\gpucache\\data_0' }```this causes `electron-mocha` to fail to clean up temporary files. changing cleanup to happen on `exit` instead of `quit` fixes it. i'm not sure if there's any other implications from doing this.,negative
jprichardson/electron-mocha,mocha,2017-05-24T18:06:15Z,i don't think `app` emits an `exit` event at all: are you sure any clean-up happens when you make this change?we've repeatedly seen permission errors during clean-up. especially on windows: usually this happens if your tests have not released a resource properly. most common case is if you create windows (other than the one electron-mocha creates for `--renderer` tests) and don't close them again.there is. however. an issue with electron's `net` module at the moment (which holds references to cache files) -- because of this (and because this gets reported frequently) we could consider allowing to skip clean-up completely?,neutral
jprichardson/electron-mocha,mocha,2017-05-24T18:38:39Z,ahh. you're right. i don't know why i thought there was an `exit` event. is there a way to discover what's holding on to a resource? i would think reporting that would be better than skipping.,negative
jprichardson/electron-mocha,mocha,2017-06-02T13:44:28Z,seems to be an issue with power shell. it works using git bash except the following error:```uncaughtexception:error: eperm: operation not permitted. unlink'c:\users\xxx\appdata\local\temp\electron-mocha-xyz\gpucache\data_0...at fixwinepermsync```//edit: checked the file - there's nothing special about it - was able to `rm` it in the console.,negative
jprichardson/electron-mocha,mocha,2017-06-03T09:19:51Z,about your first problem: if `require('electron')` yields the path to electron this means that you're likely not using electron's `require` and loading the `electron` module instead of the electron api. this shouldn't happen in electron-mocha unless you're using some kind of pre-processor to bundle your tests?about the second issue: normally. if the temp folder can't be removed (especially on windows) it means that some of your tests opened resources and did not release them again. in this case it's likely a window -- if any of your tests open windows you need to make sure to close them again otherwise the temp folder can't be cleared.,neutral
ramda/ramda,sauce,2015-06-22T03:34:54Z,actually `_slice` won't work on strings in older environments as it uses indexs to access characters instead of `charat` (sauce will fail)also i disagree with the changes in this pr,negative
node-inspector/node-inspector,mocha,2014-04-08T14:41:04Z,> ```>   1) frontendcommandhandler defers "scriptparsed" events until "page.getresourcetree":>      error: timeout of 2000ms exceeded>       at null.<anonymous> (c:\development\nodist\bin\node_modules\node-inspector\node_modules\mocha\lib\runnable.js:139:19)1>       at timer.listontimeout [as ontimeout] (timers.js:110:15)> ```a common reason for node inspector ui not showing up is when there are many files in the project being debugged. as the inspector backend is crawling the file system to list all files where you might want to set a breakpoint even before they are loaded.try to run node-inspector with `--no-preload` option. does it make any difference?however: since the problem seems to be in the websocket connection. `--no-preload` probably won't help here. do you have any plugins and or system services (antivirus. firewall) that could be intercepting websocket connections?,neutral
node-inspector/node-inspector,mocha,2014-04-10T18:33:39Z,you can see [this]( tutorial. where in last part miroslav show how to debug `mocha` tests. i think it will be helpful in debugging gulp.send me result.,positive
cssinjs/react-jss,karma,2018-08-03T08:06:07Z,will be tracked here: cssinjs/jss#745,neutral
electron-userland/electron-download,standard,2017-01-11T21:12:29Z,ugh. just tried rebasing. every commit gives a different merge conflict.will look into it later again. reverted the rebase for now.,negative
electron-userland/electron-download,standard,2017-01-19T19:38:33Z,not sure if i did or not but it seems there are no conflicts with master anymore. :)any news from the discussion?,negative
electron-userland/electron-download,standard,2017-01-19T19:42:44Z,maintainer update: discussion is still ongoing. i expect to have more information next week.,neutral
